UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
monumentensubsidie,http://standaarden.overheid.nl/owms/terms/monumentensubsidie,,X,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
motorrijtuigenbelasting,http://standaarden.overheid.nl/owms/terms/motorrijtuigenbel,X,,,,X,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/MRB_art_1,Artikel 1 Wet op de motorrijtuigenbelasting 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006324&hoofdstuk=I&afdeling=1&artikel=1
motorrijtuigenbelasting vrijstelling buitenlands kenteken,http://standaarden.overheid.nl/owms/terms/MRBelVrijstBuitKent,X,,,,X,X,,B4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/MRB_art_73,Artikel 73 Wet op de motorrijtuigenbelasting 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006324&hoofdstuk=VIII&artikel=73
motorrijtuigenbelasting vrijstelling invaliditeit,http://standaarden.overheid.nl/owms/terms/MRBelVrijstInvaliditeit,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/UbVrijstMrbInv_art_I,Artikel I Uitvoeringsbeschikking vrijstelling van motorrijtuigenbelasting wegens invaliditeit,https://wetten.overheid.nl/jci1.3:c:BWBR0003578&artikel=I
motorrijtuigenbelasting vrijstelling oldtimer,http://standaarden.overheid.nl/owms/terms/MRBelVrijstOldtimer,X,,,,X,,,B4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/MRB_art_72,Artikel 72 Wet op de motorrijtuigenbelasting 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006324&hoofdstuk=VIII&artikel=72
motorrijtuigenbelasting vrijstelling rolstoelinstallatie,http://standaarden.overheid.nl/owms/terms/MRBelVrijstRolstoelinst,X,,,,X,,,B4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/MRB_art_22,Artikel 22 Wet op de motorrijtuigenbelasting 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006324&hoofdstuk=IV&afdeling=1&artikel=22
motorrijtuigenbelasting vrijstelling tijdelijk verblijf nederland,http://standaarden.overheid.nl/owms/terms/mrbVrijstTVNL,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/MRB_art_73,Artikel 73 Wet op de motorrijtuigenbelasting 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006324&hoofdstuk=VIII&artikel=73
museumsubsidie,http://standaarden.overheid.nl/owms/terms/museumsubsidie,,,,X,,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
naamgebruik verzoek aanduiding,http://standaarden.overheid.nl/owms/terms/naamgebruik_verzoek_aanduiding,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_25,Artikel 2.25 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=3&artikel=2.25
naamskeuzeverklaring,http://standaarden.overheid.nl/owms/terms/naamskeuzeverklaring,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_5,Artikel 5 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=2&artikel=5
nachtregisterplicht,http://standaarden.overheid.nl/owms/terms/nachtregpl,X,,,X,X,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/WvSr_art_438,Artikel 438 Wetboek van Strafrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0001854&boek=Derde&titeldeel=II&artikel=438
nalatenschap verklaring,http://standaarden.overheid.nl/owms/terms/nalatenschVerkl,X,,,,X,,,D6,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_4_art_190,Artikel 190 Burgerlijk Wetboek Boek 4,https://wetten.overheid.nl/jci1.3:c:BWBR0002761&boek=4&titeldeel=6&afdeling=2&artikel=190
nationale accreditatie-instantie,http://standaarden.overheid.nl/owms/terms/natAccInst,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_aanw_mat_accred_art_2,Artikel 2 Wet aanwijzing nationale accreditatie-instantie,https://wetten.overheid.nl/jci1.3:c:BWBR0026591&hoofdstuk=2&artikel=2
naturalisatieceremonie,http://standaarden.overheid.nl/owms/terms/naturalisatieceremonie,,,,X,X,,,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/BvvN_art_60a,Artikel 60a Besluit verkrijging en verlies Nederlanderschap,https://wetten.overheid.nl/jci1.3:c:BWBR0013605&hoofdstuk=IIIA&artikel=60a
naturalisatieoptie,http://standaarden.overheid.nl/owms/terms/naturalOptie,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/RWN_art_6,Artikel 6 Rijkswet op het Nederlanderschap,https://wetten.overheid.nl/jci1.3:c:BWBR0003738&hoofdstuk=3&artikel=6
naturalisatieverzoek,http://standaarden.overheid.nl/owms/terms/naturalisatieverzoek,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/RWN_art_7,Artikel 7 Rijkswet op het Nederlanderschap,https://wetten.overheid.nl/jci1.3:c:BWBR0003738&hoofdstuk=4&artikel=7
natuur- en landschapsbeheer subsidiestelsel,http://standaarden.overheid.nl/owms/terms/natuur-_en_landschapsbeheer_subsidiestelsel,,,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
natuurbeheer provinciale subsidie,http://standaarden.overheid.nl/owms/terms/natuurbeheer_provinciale_subsidie,,X,,X,X,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
natuurgebied aanwijzing,http://standaarden.overheid.nl/owms/terms/natuurgebied_aanwijzing,,X,,,X,X,,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_natuurbescherming_art_2_1,Artikel 2.1 Wet natuurbescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0037552&hoofdstuk=2&Paragraaf=2.1&artikel=2.1
natuurgebied vergunning,http://standaarden.overheid.nl/owms/terms/natuurgebied_vergunning,X,X,,,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_natuurbescherming_art_2_7,Artikel 2.7 Wet natuurbescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0037552&hoofdstuk=2&Paragraaf=2.3&artikel=2.7
nazi-roofkunst restitutieverzoek,http://standaarden.overheid.nl/owms/terms/naziRoofkunstRestVerz,X,,,,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BesAdvCieRestCultWO2_art_2,Artikel 2 Besluit adviescommissie restitutieverzoeken cultuurgoederen en Tweede Wereldoorlog,https://wetten.overheid.nl/jci1.3:c:BWBR0022833&artikel=2
nederlandse titel aanvraag,http://standaarden.overheid.nl/owms/terms/nederlTitelAanvraag,X,,,,X,,,B3,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WHW_art_7_23,Artikel 7.23 Wet op het hoger onderwijs en wetenschappelijk onderzoek,https://wetten.overheid.nl/jci1.3:c:BWBR0005682&hoofdstuk=7&titeldeel=1&Paragraaf=4&artikel=7.23
nietigverklaring huwelijk,http://standaarden.overheid.nl/owms/terms/nietigverklHuw,X,,,,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_69,Artikel 69 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=5&afdeling=5&artikel=69
nietigverklaring huwelijk,http://standaarden.overheid.nl/owms/terms/nietigverklHuw,X,,,,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_70,Artikel 70 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=5&afdeling=5&artikel=70
nietigverklaring huwelijk,http://standaarden.overheid.nl/owms/terms/nietigverklHuw,X,,,,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_71,Artikel 71 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=5&afdeling=5&artikel=71
no-riskpolis,http://standaarden.overheid.nl/owms/terms/noRiskPolis,,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/ZW_art_29b,Artikel 29b Ziektewet,https://wetten.overheid.nl/jci1.3:c:BWBR0001888&afdeling=Tweede&hoofdstuk=II&artikel=29b
noodreisdocument,http://standaarden.overheid.nl/owms/terms/noodreisdocument,X,,,X,X,,,A1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Ppw_art_16,Artikel 16 Paspoortwet,https://wetten.overheid.nl/jci1.3:c:BWBR0005212&hoofdstuk=II&Paragraaf=3&artikel=16
notarisbenoeming,http://standaarden.overheid.nl/owms/terms/notarisben,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WN_art_3,Artikel 3 Wet op het notarisambt,https://wetten.overheid.nl/jci1.3:c:BWBR0010388&titeldeel=II&artikel=3
objectvergunning,http://standaarden.overheid.nl/owms/terms/objectvergunning,X,X,X,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_10,Artikel 2:10 Model Algemene plaatselijke verordening,
objectvergunning,http://standaarden.overheid.nl/owms/terms/objectvergunning,X,X,X,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/modelkeur_art_3_2,Artikel 3.2 modelkeur 2013,
objectvergunning,http://standaarden.overheid.nl/owms/terms/objectvergunning,X,X,X,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/pr_omg_vo,provinciale omgevingsverordening,
octrooi,http://standaarden.overheid.nl/owms/terms/octrooi,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/ROW_1995_art_17,Artikel 17 Rijksoctrooiwet 1995,https://wetten.overheid.nl/jci1.3:c:BWBR0007118&hoofdstuk=2&Paragraaf=1&artikel=17
octrooiregister,http://standaarden.overheid.nl/owms/terms/octrooiregister,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/ROW_1995_art_19,Artikel 19 Rijksoctrooiwet 1995,https://wetten.overheid.nl/jci1.3:c:BWBR0007118&hoofdstuk=2&Paragraaf=1&artikel=19
olietank melding,http://standaarden.overheid.nl/owms/terms/olietankMld,,,,X,X,X,X,,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/Wabo_art_2_1,Artikel 2.1 Wet algemene bepalingen omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0024779&hoofdstuk=2&Paragraaf=2.1&artikel=2.1
omgevingsvergunning,http://standaarden.overheid.nl/owms/terms/omgevingsvergunning,X,X,X,X,X,X,X,N1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wabo_art_2_2,Artikel 2.2 Wet algemene bepalingen omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0024779&hoofdstuk=2&Paragraaf=2.1&artikel=2.2
omgevingsvergunning bouw,http://standaarden.overheid.nl/owms/terms/omgevingsvergunning_bouw,X,X,X,X,X,X,X,N1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wabo_art_2_1,Artikel 2.1 Wet algemene bepalingen omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0024779&hoofdstuk=2&Paragraaf=2.1&artikel=2.1
omgevingsvergunning brandveilig gebruik,http://standaarden.overheid.nl/owms/terms/omgVgBrvGebr,X,,,X,X,X,X,N1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wabo_art_2_1,Artikel 2.1 Wet algemene bepalingen omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0024779&hoofdstuk=2&Paragraaf=2.1&artikel=2.1
omgevingsvergunning kap,http://standaarden.overheid.nl/owms/terms/omgevingsvergunning_kap,X,,,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wabo_art_2_2,Artikel 2.2 Wet algemene bepalingen omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0024779&hoofdstuk=2&Paragraaf=2.1&artikel=2.2
omgevingsvergunning milieu,http://standaarden.overheid.nl/owms/terms/omgevingsvergunning_milieu,X,X,X,X,,X,X,N1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Bor_art_2_2a,Artikel 2.2a Besluit omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0027464&hoofdstuk=2&Paragraaf=2.1&artikel=2.2a
omgevingsvergunning natuur,http://standaarden.overheid.nl/owms/terms/omgVergNat,,,,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wabo_art_2_1,Artikel 2.1 Wet algemene bepalingen omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0024779&hoofdstuk=2&Paragraaf=2.1&artikel=2.1
omgevingsvergunning reclame,http://standaarden.overheid.nl/owms/terms/omgevingsvergunning_reclame,X,,,X,,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wabo_art_2_2,Artikel 2.2 Wet algemene bepalingen omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0024779&hoofdstuk=2&Paragraaf=2.1&artikel=2.2
omgevingsvergunning ruimtelijke ordening,http://standaarden.overheid.nl/owms/terms/omgevingsvergunning_ruimtelijke_ordening,,,,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wabo_art_2_12,Artikel 2.12 Wet algemene bepalingen omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0024779&hoofdstuk=2&Paragraaf=2.3&artikel=2.12
omgevingsvergunning sloop,http://standaarden.overheid.nl/owms/terms/omgevingsvergunning_sloop,X,,,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wabo_art_2_1,Artikel 2.1 Wet algemene bepalingen omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0024779&hoofdstuk=2&Paragraaf=2.1&artikel=2.1
omgevingsvergunning uitweg,http://standaarden.overheid.nl/owms/terms/omgVgUitweg,,X,,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_12,Artikel 2:12 Model Algemene plaatselijke verordening,
omgevingsvergunning uitweg,http://standaarden.overheid.nl/owms/terms/omgVgUitweg,,X,,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/pr_w_vo,provinciale wegenverordening,
omzetbelasting,http://standaarden.overheid.nl/owms/terms/omzetbel,X,,,,X,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_OB_art_1,Artikel 1 Wet op de omzetbelasting 1968,https://wetten.overheid.nl/jci1.3:c:BWBR0002629&hoofdstuk=I&artikel=1
onbemand frequentiegebruik vergunning,http://standaarden.overheid.nl/owms/terms/onbemFreqGebrVerg,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Tw_art_3_10,Artikel 3.10 Telecommunicatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0009950&hoofdstuk=3&Paragraaf=3.5&artikel=3.10
onderhoud infrastructuur,http://standaarden.overheid.nl/owms/terms/onderhoud_infrastructuur,,,,X,X,X,,,X,,,,,,,,,
onderhoud rijksmonument lening,http://standaarden.overheid.nl/owms/terms/onderhRijksmonLen,X,,,,X,X,,B2,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_7_8,Artikel 7.8 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=7&Paragraaf=7.3&artikel=7.8
onderhoudsplan vve,http://standaarden.overheid.nl/owms/terms/ondhPlVve,,,,X,X,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/BW_Boek_5_art_126,Artikel 126 Burgerlijk Wetboek Boek 5,https://wetten.overheid.nl/jci1.3:c:BWBR0005288&boek=5&titeldeel=9&afdeling=2&artikel=126
ondersteuningsverklaring,http://standaarden.overheid.nl/owms/terms/ondrstverkl,,,,,,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/KW_art_H_4,Artikel H 4 Kieswet,https://wetten.overheid.nl/jci1.3:c:BWBR0004627&afdeling=II&hoofdstuk=H&artikel=H_4
ondersteuningsverklaring,http://standaarden.overheid.nl/owms/terms/ondrstverkl,,,,,,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/KW_art_R_2,Artikel R 2 Kieswet,https://wetten.overheid.nl/jci1.3:c:BWBR0004627&afdeling=III&hoofdstuk=R&artikel=R_2
onderwijsactiviteit speciaal onderwijs vrijstelling,http://standaarden.overheid.nl/owms/terms/onderwActSpecOndVrijst,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WEC_art_46,Artikel 46 Wet op de expertisecentra,https://wetten.overheid.nl/jci1.3:c:BWBR0003549&titeldeel=II&afdeling=1&Paragraaf=3&artikel=46
onderwijsbijdrage en schoolkosten deeltijders vo en vavo tegemoetkoming,http://standaarden.overheid.nl/owms/terms/onderwBijdSchKstDtVoVavoTgk,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WTOS_art_5_11,Artikel 5.11 Wet tegemoetkoming onderwijsbijdrage en schoolkosten,https://wetten.overheid.nl/jci1.3:c:BWBR0012438&hoofdstuk=5&afdeling=5.2&Paragraaf=5.2.3&artikel=5.11
onderwijsbijdrage en schoolkosten vo tegemoetkoming,http://standaarden.overheid.nl/owms/terms/onderwBijdSchKstVoTgk,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WTOS_art_4_8,Artikel 4.8 Wet tegemoetkoming onderwijsbijdrage en schoolkosten,https://wetten.overheid.nl/jci1.3:c:BWBR0012438&hoofdstuk=4&Paragraaf=4.3&artikel=4.8
onderwijshuisvestingsverordening,http://standaarden.overheid.nl/owms/terms/ondHuisvVerord,,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/WEC_art_100,Artikel 100 Wet op de expertisecentra,https://wetten.overheid.nl/jci1.3:c:BWBR0003549&titeldeel=IV&afdeling=3&artikel=100
onderwijshuisvestingsverordening,http://standaarden.overheid.nl/owms/terms/ondHuisvVerord,,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/WPO_art_102,Artikel 102 Wet op het primair onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0003420&hoofdstuk=I&titeldeel=IV&afdeling=3&artikel=102
onderwijshuisvestingsverordening,http://standaarden.overheid.nl/owms/terms/ondHuisvVerord,,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/WVO_art_76m,Artikel 76m Wet op het voortgezet onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0002399&titeldeel=III&afdeling=IA&hoofdstuk=I&artikel=76m
onderwijsmaster tegemoetkoming,http://standaarden.overheid.nl/owms/terms/onderwMastTgk,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/RegTegStudKstOndMastOpl_art_3,Artikel 3 Regeling tegemoetkoming studiekosten onderwijsmasteropleidingen,https://wetten.overheid.nl/jci1.3:c:BWBR0038481&artikel=3
onderwijssubsidie,http://standaarden.overheid.nl/owms/terms/onderwijssubsidie,,,,X,,X,,,X,,X,X,,,,,,
oneerlijke handelspraktijkenverbod,http://standaarden.overheid.nl/owms/terms/oneerlHandPrakVerb,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Whc_art_8_8,Artikel 8.8 Wet handhaving consumentenbescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0020586&hoofdstuk=8&artikel=8.8
ongebruikelijke-transactiemelding,http://standaarden.overheid.nl/owms/terms/ongebrtransmld,X,,,,,X,X,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Wwft_art_16,Artikel 16 Wet ter voorkoming van witwassen en financieren van terrorisme,https://wetten.overheid.nl/jci1.3:c:BWBR0024282&hoofdstuk=3&Paragraaf=3.2&artikel=16
ongediertebestrijding,http://standaarden.overheid.nl/owms/terms/ongediertebestrijding,,,,X,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wonw_art_1a,Artikel 1a Woningwet,https://wetten.overheid.nl/jci1.3:c:BWBR0005181&hoofdstuk=I&artikel=1a
ongewenstverklaring opheffing,http://standaarden.overheid.nl/owms/terms/ongewVerklOph,X,,,,X,,,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/VW_art_68,Artikel 68 Vreemdelingenwet 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011823&hoofdstuk=6&afdeling=4&artikel=68
ongewoon voorvalmelding,http://standaarden.overheid.nl/owms/terms/ongewVoorvalmeld,,,,X,,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wm_art_17_2,Artikel 17.2 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=17&titeldeel=17.1&artikel=17.2
onkruidbestrijding,http://standaarden.overheid.nl/owms/terms/onkruidbestrijding,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wonw_art_1a,Artikel 1a Woningwet,https://wetten.overheid.nl/jci1.3:c:BWBR0005181&hoofdstuk=I&artikel=1a
onrechtmatig besluit schadevergoeding,http://standaarden.overheid.nl/owms/terms/onrmBeslSchadeverg,X,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_8_88,Artikel 8:88 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=8&titeldeel=8.4&artikel=8:88
onrechtmatige opname psychiatrische instelling schadevergoeding,http://standaarden.overheid.nl/owms/terms/onrmOpnPsInstSchVerg,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BOPZ_art_28,Artikel 28 Wet bijzondere opnemingen in psychiatrische ziekenhuizen,https://wetten.overheid.nl/jci1.3:c:BWBR0005700&hoofdstuk=II&Paragraaf=3&artikel=28
onrechtmatige opname psychiatrische instelling schadevergoeding,http://standaarden.overheid.nl/owms/terms/onrmOpnPsInstSchVerg,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BOPZ_art_35,Artikel 35 Wet bijzondere opnemingen in psychiatrische ziekenhuizen,https://wetten.overheid.nl/jci1.3:c:BWBR0005700&hoofdstuk=II&Paragraaf=5&artikel=35
onroerendezaak gebruiksbeperking,http://standaarden.overheid.nl/owms/terms/onroerendezaak_gebruiksbeperking,X,,,,X,X,,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Wkpboz_art_3,Artikel 3 Wet kenbaarheid publiekrechtelijke beperkingen onroerende zaken,https://wetten.overheid.nl/jci1.3:c:BWBR0016876&Paragraaf=1&artikel=3
onroerendezaak huur pacht koop,http://standaarden.overheid.nl/owms/terms/onroerendezaak_huur_pacht_koop,,,,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_1,Artikel 1 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=1&afdeling=1&artikel=1
onroerendezaak huur pacht koop,http://standaarden.overheid.nl/owms/terms/onroerendezaak_huur_pacht_koop,,,,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_201,Artikel 201 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=4&afdeling=1&artikel=201
onroerendezaak huur pacht koop,http://standaarden.overheid.nl/owms/terms/onroerendezaak_huur_pacht_koop,,,,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_311,Artikel 311 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=5&afdeling=1&artikel=311
onroerendezaakbelasting (ozb),http://standaarden.overheid.nl/owms/terms/onroerendezaakbelasting_(ozb),X,,,X,X,X,,D2;L5,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Gemw_art_220,Artikel 220 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&Paragraaf=2&artikel=220
onroerendezaakbelasting (ozb) kopie aanslag,http://standaarden.overheid.nl/owms/terms/onroerendezaakbelasting_(ozb)_kopie_aanslag,,,,X,X,X,,,X,,X,,,,X,,,
ontgronding,http://standaarden.overheid.nl/owms/terms/ontgronding,,X,,,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/pr_ontgr_vo,provinciale ontgrondingsverordening,
ontgrondingsvergunning,http://standaarden.overheid.nl/owms/terms/ontgrondingsvergunning,X,X,,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Ontgrw_art_3,Artikel 3 Ontgrondingenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0002505&hoofdstuk=I&artikel=3
ontgrondingsvergunning schadevergoeding,http://standaarden.overheid.nl/owms/terms/ontgrondingsvergunning_schadevergoeding,,X,,X,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Ontgrw_art_26,Artikel 26 Ontgrondingenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0002505&hoofdstuk=V&artikel=26
ontheffing internationale sanctie,http://standaarden.overheid.nl/owms/terms/onthefIntSanctie,X,,,,,X,,E4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Sanctiewet_1977_art_2,Artikel 2 Sanctiewet 1977,https://wetten.overheid.nl/jci1.3:c:BWBR0003296&afdeling=2&artikel=2
ontheffing verbod balseming,http://standaarden.overheid.nl/owms/terms/onthVerbBalseming,X,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wlb_art_71,Artikel 71 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=VI&artikel=71
ontleding stoffelijk overschot toestemming,http://standaarden.overheid.nl/owms/terms/ontleding_stoffelijk_overschot_toestemming,,,,X,,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wlb_art_67,Artikel 67 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=V&artikel=67
ontslagregeling,http://standaarden.overheid.nl/owms/terms/ontslagreg,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_667,Artikel 667 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=10&afdeling=9&artikel=667
onttrekking weg aan het verkeer,http://standaarden.overheid.nl/owms/terms/onttrekking_weg_aan_het_verkeer,,X,,,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wegw_art_8,Artikel 8 Wegenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0001948&hoofdstuk=II&artikel=8
onveilig productmelding,http://standaarden.overheid.nl/owms/terms/onvprodmld,X,,,,X,X,X,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Warenwbesl_alg_prod_art_2,Artikel 2 Warenwetbesluit algemene productveiligheid,https://wetten.overheid.nl/jci1.3:c:BWBR0006158&artikel=2
